Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"Company Profile

Home Capital Group Inc., together with its operating subsidiary Home Trust Company, has developed a track record of success as Canada’s leading alternative lender, employing nearly 800 people in our Toronto headquarters and branches across the country. Building on the demonstrated strength of our core residential and commercial mortgage lending business, the Company and its affiliates also offer complementary lending services and competitive deposit investment products. Our culture has been shaped by the passion and integrity of our people. Home Trust is a wholly-owned subsidiary of Home Capital Group, trading on the TSX under the symbol HCG.
Position Responsibilities

Developing practical business applications for cognitive, prescriptive and predictive analytic models and algorithms
Working on transformational projects using large data sets (structured and unstructured) to deliver business value
Using existing enterprise data – but also seeking relevant external / alternative data sources to find new opportunities
Ability to understand, mine, parse, manipulate, and integrate large data sets
Ability to conduct complex data analysis on large datasets and confidently present findings to the business community
Working closely with other business team members to clearly explain your results, output and how it relates to the business opportunity while ensuring that output is practical and actionablw
Developing processes to monitor and analyze model performance and accuracy
Implementing models and monitoring outcomes
Formal Education
Master's degree preferred in related area

Related Experience

Strong practical business experience building Advanced Analytics models, based on a number of statistical and AI/ML methods including, but not limited to: regression analysis, clustering, decision tree learning, neural networks, time-series, A/B testing, supervised learning, NLP, reinforcement learning, and deep learning
Demonstrated experience in testing/validation, visualizing data, evaluating test results and model performance
Experience with common libraries for ML
Familiarity with collaborative software development tools
Hands-on experience and expertise with different AI/ML frameworks
Experience using advanced coding languages (R, Python, Spark, Scala, etc.) to manipulate data and draw insights from large data sets
Familiarity with Azure Cloud, Power BI and Azure modern data warehouse tools and utilities is a definite asset
Skills
Communication (verbal and written) - excellent
Collaborating
Team player

Position Complexities
Some work beyond standard hours

Acknowledgement

All employees of Home Capital Group Inc. must comply with all applicable Home Capital Group Inc, Home Trust Company, and specific Line of Business policies, standards, guidelines and controls. Additionally, all employees are obligated to become familiar with Home’s risk management framework and understand the operational risk management requirements within their specific business. Employees are also expected to understand and comply with the Company’s Code of Business Conduct & Ethics Policy at all times and escalate any issues or concerns through various reporting channels (i.e. Ombudsman, Compliance Hotline, Whistleblower Policy, etc).",3.1,"Home Trust
3.1",Toronto,"Toronto, Canada",501 to 1000 employees,1977,Company - Public,Lending,Finance,$100 to $500 million (CAD),-1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"LOCATION: Calgary, Alberta (CA-AB)
JOB NUMBER: 41297

Why you should join us:

We are living in an era of transformation – as a company, as an industry and as a global community. Suncor is evolving and we’re calling it Suncor 4.0. Technology and digital solutions are a big part of this, but unleashing the full potential of our people is what will get us where we need to be.

An essential part of our evolution is creating value through data and becoming a data-informed enterprise where employees can apply their knowledge, draw insights and make the best possible decisions. Hiring specialists like yourself will help us implement our Advanced Analytics strategy and transform our business. It’s all about strengthening our future through digital technology, unleashing the full potential of our people, and creating an engaging and productive workplace.

Working as part of our Advanced Analytics (AA) team in our Transformation Management Office you will work across our organization to identify and apply advanced analytics practices including machine learning, deep learning techniques and artificial intelligence to transform the way we do business.

If you’re passionate about data, and thirsty for new approaches that provide insights into the most complex challenges through the architecting of data for advanced analytics, this role is for you!

Are you ready to help us solve problems we’ve never been able to address before? Join us and be part of transforming Suncor’s future!

You will use your expertise to:
Act as a key contributing team member for advanced analytics products focused on analytics product and insight development and sustainment
Design, create, test and implements models through algorithms that drive analytical products throughout the organization
Apply Suncor Use Case Delivery Model and Suncor Model Management practices for analytics product development and operations
Work with Data Engineers and SME’s to understand the raw data and/or create engineered features that improve model performance
Collaborate with cross-functional team members to deliver high-impact scalable and sustainable products in a Minimum Viable Product (MVP) approach through product releases
Use data science techniques to find data patterns, anomalies, and optimization opportunities
Provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the entire organization
Interpret, translate and communicate analytical findings to business stakeholders through visualizations
Identify and implement continuous improvement to standards, processes and techniques within the AA Centre of Excellence (CoE)
We’d like to review your application if you have…

Must-haves (minimum requirements):
Three to 10 years of progressive experience in advanced analytics or a quantitative field
A Bachelor or Master’s degree with a focus in data science, computer science, analytics, actuarial science, statistics, operations research, mathematics, data mining, economics or a related quantitative field (e.g. epidemiology/public health, geomatics)
Proven proficiency developing analytics products in Python and/or R MATLAB or statistical analysis environments such as SPSS or SAS
A deep understanding of predictive modeling and statistical concepts, machine learning approaches, clustering and classification techniques, and recommendation and optimization algorithms
Strong communication, dynamic and critical thinking, and story-telling ability (through data) to influence and propose analytics strategies and solutions that challenge and expand the thinking of everyone around you
Alignment with our values: safety above all else, stronger together, operational discipline, curiosity and lifelong learning, and act with integrity
Preference for:
Experience in mining, In Situ, refineries, cyber security, geology, and/or a corporate/functional business background
Experience with unstructured data (e.g. image recognition, audio analytics, text mining)
An accredited professional statistician (PStat)
Where you’ll be working, your work schedule, and other important information:
You will work out of our Calgary head office, located in the Suncor Energy Centre at 150 – 6th Ave S.W.
This role can also be supported from one of our hub locations (e.g. Mississauga, Fort McMurray, Edmonton, Sarnia, Montreal)
One of our values is curiosity and lifelong learning – we challenge the status quo and learn from and support each other to make the world a better place
We are so invested in building advanced analytics skills within our organization that we've created the Analytics Academy to provide training to employees through instructor-led courses, e-learning, communities of practice, etc.
Why Suncor?

Supporting our people. Caring for our communities. Living our purpose.

With our operations declared an essential service, we are continuing to operate and are looking to fill business-critical roles at this time. We require qualified and safety-focused employees to help keep things running. In terms of our current recruitment process, we’re doing things a bit differently to adjust to our new ‘normal.’ We are using technology to conduct virtual interviews to adhere to physical distancing recommendations and we are well set up for remote onboarding and orientation.

We are bolstered by the unity across our community and the solidarity across the world. We continue to encourage you to support global efforts to limit the impact of COVID-19 with good hygience practices, physical distancing, and with care and consideration for the people around you. For more information on how we’re responding to COVID-19, click here. #StrongerTogether

We are Canada's leading integrated energy company with a business portfolio that includes oil sands development and upgrading, offshore oil and gas production, petroleum refining, and product marketing under the Petro-Canada brand. Our global presence offers rewarding opportunities for you to learn, contribute, and grow in a variety of career-building positions. We live by the value of safety above all else – if it isn't safe, we don't do it. Our strong track record of growth and a focus on sustainability mean tremendous potential for the future. Learn about our purpose and values.

In addition to rewarding job opportunities, we offer an attractive employee package, including:
Competitive base salary, compensation programs, and an annual incentive program
Flexible benefits package
Rewarding pension and savings plans
Stay connected to us:
Follow us on LinkedIn, Facebook and Twitter for the latest job postings and news
Visit our Report on Sustainability to see our progress on a number of environmental, social and economic topics and what we’re doing to position our company for the future
Join our Talent Community and sign up to receive customized job alerts
Read our Suncor Connections newsletter to see what we’re doing in the communities we live and work in
We are an equal opportunity employer and encourage applications from all qualified individuals. We are committed to providing a diverse and inclusive work environment where every employee feels valued and respected. We will consider accessibility accommodations to applicants upon request. Check out our social goal to learn how we are working to build greater mutual trust and respect with the Indigenous Peoples in Canada.

Please note that our job postings are typically open for two weeks, so don't delay, apply now.

JOB CATEGORY: Business Professionals",4.0,"Suncor Energy Services
4.0",Calgary,"Calgary, Canada",10000+ employees,1967,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (CAD),"Imperial Oil, Husky Energy"
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"Open up to the Possibilities!
At Purolator, you’ll be proud knowing you’re working for a Canadian company that truly values its employees. And it’s community. This is an exciting and evolving industry and we’re leading the change as we strive to deliver the future. Here you will be empowered to help move the business forward. Each and every day. Are you open to the possibilities?

Job Description

We are looking for a seasoned Data Scientist who is enthusiastically driven to generate actionable insights and create new growth opportunities. You must have proven analytics leadership skills to grow and foster rapid learning and application of insights. You will lead analytics initiatives including advanced statistical modelling and develop data-driven solutions across several lines of business and domains. This is a unique opportunity to apply your analytics skills in a uniquely Canadian organization rich in history and data.

REQUIREMENTS
M.Sc. or Ph.D. in a quantitative field (e.g., Computer Science, Statistics, Financial Economics, Applied Mathematics, Computer Engineering, or other related discipline).
Significant experience solving problems with the required use of advanced statistical modelling techniques.
Proven programming skills including experience conducting modelling and statistical analysis (e.g., R, Matlab), object-oriented software development (e.g., Python, Scala), and massive parallel processing (e.g., Spark, Apache Hadoop).
Professional experience applying statistical analysis, machine learning, analysis and modelling of large scale and complex datasets.Excellent communication skills and ability to describe and present complex technical concepts in clear and concise language across an audience with varying levels of understanding.
Excellent presentation skills to both technical and non-technical people.
Ability to lead teams and create an environment of continuous learning and open communication.
Ability to structure and lead a project from idea to experimentation to prototype to delivery to the customer (internal / external).
A track record of distilling complex and ambiguous problems into actionable recommendations based on sound data analysis and insights
Strong programming fundamentals, and ideally have extensive experience analyzing data using SQL, Pandas, Spark, or similar tools
WHAT WE EXPECT?
Self-starter that is focused and driven with amazing follow-through.
Enthusiastically tackling problems with curiosity and a love of sharing ideas and insight.
Ability to synthesize information, evoke good conversation and consider problems from new perspectives.
Ability to provide clear recommendations in the face of challenges or limitations.Driven to deliver quality solutions and models that are accurate, valid and are supported with reliable data.
Ability to manage time effectively, prioritize tasks, and take ownership for your work
POSTING DETAILS
Location: 530 - Corporate
Working Conditions: Office Environment

Reports to: Manager Enteprise Analytics
--

Purolator is an equal opportunity employer committed to diversity and inclusion. We consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, Aboriginal/Indigenous status or any other factors considered discriminatory. If you require an accommodation during the recruitment process, we will work with you to meet your needs.
We recognize that our employees and their families are key stakeholders. We will only be successful as a business if we provide our employees with a safe and healthy workplace and we have the right people in the right roles with the support they need to succeed. We hire for attitude and train for skills. To learn more about us and our values, go to www.purolator.com.

At Purolator, every day is an opportunity for our employees to connect with one another and with our customers to help make a positive impact in the communities where we live, work and play.",3.3,"Purolator
3.3",Mississauga,"Mississauga, Canada",10000+ employees,-1,Company - Private,Express Delivery Services,Transportation & Logistics,$2 to $5 billion (CAD),-1
Data Scientist (remote),CA$73K-CA$100K (Glassdoor Est.),"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a growing consulting firm with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about Machine Learning, and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.

Qualifications
Experienced implementing and scaling machine learning models in production environments
Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Analytical mind and strong business acumen
If you're passionate about data science and is hungry to learn, please apply!",5.0,"Ample Insight Inc.
5.0",Toronto,"Toronto, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Product Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"Coffee Meets Bagel
Coffee Meets Bagel's mission is to give everyone a chance at love. The app curates quality matches with fuller profiles that result in real conversations. Globally, CMB has generated millions of real dates and thousands of lasting relationships. Coffee Meets Bagel was named one of the Top 10 Dating apps by Time Magazine and the Best Dating App for Women by Refinery29. It has also been voted the #1 recommended dating app for singles looking for relationships.

Job description
Each day, our users visit our app with the hope of connecting with someone. These interactions generate millions of data points that can be used to help us better understand our customers’ experiences. We need you to ask and answer the questions that will transform this data into a better understanding of what our customers find delightful and what they find painful so that you can help drive changes that further our vision of helping singles form meaningful connections with other amazing singles!

The Product Data Scientist will be responsible for partnering with our product and growth teams to provide the facts needed to make better decisions and to help push our products and services to better serve our customers. You will be responsible for building a strong understanding of our ecosystem, working with the product team to determine which projects are the most important, and being willing to use the right tool (a scripted model, a dashboard, a presentation) to find and explain relevant information and insight that will help the company operate better.


Responsibilities
Work cross-functionally with product, design, finance, and engineering teams to provide data-driven insights that will help define the product & marketing roadmap and drive significant increase in core business KPIs (growth, revenue, engagement).
Create internal dashboards to monitor the health of the product and business KPIs (growth, revenue, engagement).
Deliver ad-hoc analyses and reports to support business needs, investigate, triage and resolve metrics-based issues without heavy guidance.
Assist in feature development from ideation to execution, including helping with user research, determining the best way to test new product features, and running deep analysis of feature performance post launch.
Create and share compelling presentations that motivates and inspires the team to build with conviction.
When necessary, build models in R, Python, or other systems that help us better measure and understand the results of experiments or user flows.
Qualifications
Bachelors in a quantitative field and 3+ years post-collegiate work experience as an analyst or data scientist; or a Masters/PhD in a quantitative field with 1+ years relevant experience.
Experience applying statistics to rigorously analyze data and derive insights to solve ambiguous problems.
Expertise designing and evaluating randomized controlled experiments. Familiarity with quasi-experiments is a plus.
High proficiency in SQL & business intelligence tools (e.g., Mode, Tableau, etc).
Capable of condensing data and telling a persuasive story to technical and non-technical audiences.
Self-starter, with ability to thrive in a dynamic, fast-paced environment, drive change through influence, and collaborate effectively with a variety of cross-functional stakeholders. Excited and hungry to try new tools and processes to achieve results.
Passionate about building delightful products for our customers.
Competency in R, Python, or another scripting language is a plus.

This role is only for candidates in the Toronto Metropolitan Area.",4.4,"Coffee Meets Bagel
4.4",Toronto,"San Francisco, CA",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (CAD),-1
Data Engineer/Backend Developer,CA$73K-CA$100K (Glassdoor Est.),"Data Engineer/Backend Developer - Downtown Vancouver (BC)
Vancouver, BC | Full Time | Data Team

JOIN INC. 5000’S FASTEST GROWING COMPANY IN CALIFORNIA!
(https://www.inc.com/lindsay-blakely/create-music-group-inc5000-series-california-2020.html)

Working with our 25+ person team will give you the opportunity to tackle fun new challenges while making a big impact in a collaborative and culture driven environment. Our Vancouver Team is passionate about building tools that advance the music industry to modernize the way artists create, distribute, and get paid.

WHO WE ARE

We are Create Music Group, one of the fastest growing music technology companies in the entertainment industry. We monetize over 8 billion monthly music streams and are currently one of the largest music rights holders in the world. We operate a number of different services out of our 22,000 sq ft HQ in the heart of Hollywood, Los Angeles (US) including: music distribution, music publishing, YouTube monetization, artist development, brand development, and production. Check us out at createmusicgroup.com.

We collaborate with some of the most influential personalities and musicians including Future, Migos; Marshmello, Porter Robinson, Dillon Francis, Don Diablo; Young Thug, Trippie Redd, Soulja Boy; Jacob Sartorius, and others. We are at the forefront of the entertainment industry and looking for someone to join us and to become a part of the Create family.

MORE ABOUT US

How Create Music Group Found $60 Million in Unclaimed Revenue for Artists and Labels in Three Years
https://www.forbes.com/sites/danafeldman/2018/11/28/how-create-music-group-found-60m-in-unclaimed-revenue-for-artists-and-labels-in-three-years/#32b17f7b7b32

How This Startup is Finding Millions in Unclaimed Youtube Revenue for Artists and Labels
https://www.billboard.com/articles/business/8357947/create-music-group-youtube-revenue-recovery-artists-labels

Create Music Group Now Offering Clients Daily Youtube, Apple Music/iTunes & Spotify Revenue Reports
https://www.billboard.com/articles/business/8495395/create-music-group-daily-youtube-apple-itunes-spotify-reports

WHO YOU ARE
An appreciator of music and the digital age of tech/entertainment
Passionate about working for data
Well versed in Agile methodology
Able to communicate effectively whether in-person or electronically
Willing to learn new programs and apps as needed
A backend developer with strong SQL skills - willing to get your hands dirty in data processing.
Pay good attention to business, technical, and data detail.

REQUIRED SKILLS
3+ Years Proficiency with Python
3+ Years Proficiency with SQL and NoSQL
3+ Years Experience with Cloud Computing
3+ years Experience with building and consuming APIs
Experience with Bash Scripting
Experience with Linux VMs
Proficiency with version control (Git) and building scalable applications


PREFERRED QUALIFICATIONS
Experience with Google Cloud Platform - Cloud Composer (Airflow), GCE, GCS, BigQuery
Experience with Docker and Kubernetes
Familiarity with business intelligence and data visualization tools such as Tableau and Google Data Studio
ReactJS, NodeJS, ReactJS visualization libraries

WHAT YOU’LL BE DOING
Building our data products, focusing on data pipeline infrastructure
Supporting team automation efforts.
Playing with cool technology: We use cloud solutions of AWS/Google Cloud Platform, Google Cloud Composer, Google BigQuery, Cloud Storage, ElasticSearch, Docker, and more.

COMPENSATION
Salary: $70,000 to $90,000 CAD
15 Days Paid Vacation
5 Days Paid Sick Leave
Comprehensive Health and Dental Insurance

PERKS
Fun office in downtown Vancouver, featuring open-plan work environments
Communal snacks and all the coffee or tea you could ever want
Weekly catered lunches at the office
Potential travel to our LA Headquarters to meet the rest of our team
Awesome social events and activities every month
Super dog-friendly office!

OUR VANCOUVER TEAM

Our team in Vancouver is the heart of Create Music Group’s technology! We commit to building a community where our employees are valued for their contributions and perspectives. You will be working with a team where the impact of what you do really matters. While we are extremely hardworking and focused, Create Music Group also believes in a healthy work/life balance. You can find us hanging out in our common areas where we play video games, challenge each other to a game of pong, or lounging with our friendly office dogs! Our high-energy culture is a great place for personal growth and career success. If you are motivated, have a positive attitude, enjoy challenges and want to be part of a growing team - then we want to hear from you!

TO APPLY

Send us your resume and cover letter. Your cover letter should tell us who you are and why you would be the perfect fit for this position - and for our team! Link us anything else you want - your portfolio, website, socials, etc.
Send your resume and cover letter to careers@createmusicgroup.com
Add ""Backend Developer Application"" in the subject line.

*** Only applications with a cover letter + resume will be accepted.

We are an Equal Opportunity Employer and committed to excellence through diversity.",-1.0,Label Engine,Vancouver,"Los Angeles, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data. Your primary focus will be in applying data mining techniques, doing statistical analysis, time series, mathematical analysis and building high-quality prediction systems integrated with our products. This position will be based out Thorold, ON.

Primary Goals:
Responsible for selecting features, building and optimizing classifiers using machine learning techniques;
Responsible for data mining using state-of-the-art methods;
Responsible for enhancing data collection procedures to include information that is relevant for building analytic systems;
Responsible for processing, cleansing, and verifying the integrity of data used for analysis;
Responsible for doing ad-hoc analysis and presenting results in a clear manner;
Responsible for developing custom data models and algorithms to apply to data sets;
Responsible for developing processes and tools to monitor and analyze model performance and data accuracy;
Responsible for working with stakeholders within the organization to identify opportunities for leveraging company data to optimize different solutions from observed trends.
Requirements:
At least two years of experience dealing with real-world data, coding in the industry;
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc;
Knowledge and experience in statistical and data mining techniques using time series datasets, sensor fusion datasets, Bayesian Probability, Markov Models(HMM);
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc;
Capacity of analyzing data from 3rd party providers like Herd Management S/W such as HerdMertics and Dairy comp etc;
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc;
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc;
Excellent written and verbal communication skills for coordinating across teams;
Basic Knowledge of the Dairy Industry considered an asset;
Basic Knowledge of Image processing and OpenCV considered an asset;
Master’s or Ph.D. in Statistics, Mathematics, Computer Science or another quantitative field.
About SomaDetect

SomaDetect is a precision dairy technology company with offices in Fredericton, NB, Buffalo, NY and Thorold, ON. Founded in Fredericton, New Brunswick in 2016, SomaDetect has designed and produced an in-line sensor that measures critical indicators of dairy-quality from every cow at every milking. Our technology uses no consumables, chemicals, or cartridges, and with no lost milk. For more information, visit www.somadetect.com",-1.0,SomaDetect,Thorold,"Fredericton, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"About Assurance
At Assurance we are disrupting the antiquated and inefficient world of insurance and financial services. Our team of world class software engineers, data scientists, and business professionals are modernizing how people obtain and manage their financial life all through our powerful platform ecosystem. We are rapidly growing as we expand our product offerings and global footprint, and this growth continues to present new and exciting challenges as we push our industry into its future. We eliminate waste throughout the industry and calculate the complex into simple, valuable solutions to improve people's lives. We are humble, driven, and committed to improving the lives of millions.

About the Position
As we build the future of consumer insurance in a modern age, data is at the core of everything that we do. The role requires team members who are adept at using large data sets to find opportunities for optimization and can leverage appropriate models to test the effectiveness of different courses of action. Our team uses a variety of data mining and analysis methods, a variety of data tools, builds and implements models, develops algorithms, and creates simulations. Team members must be very comfortable writing production-ready code to include testing and maintenance infrastructure, and able to put models and analysis into production with no support from engineering (we own our stack end to end). At Assurance, we hire experts in their field, and we give them the independence and trust to build based on their expertise.

About You
You have a proven ability to drive business results with data-based insights and are comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. You’re capable of getting data for analysis on your own, without reliance on engineering, and you can build professional dashboards as standalone software products and tools. We’re growing at a rapid pace, so it’s important that you embrace the opportunity to blaze your own trail. You thrive in a fast-paced environment where priorities can shift rapidly as we corner opportunity. You can work independently, with little oversight or guidance.
To be successful in this role, you must possess the following:
Proficiency in either Python or R, and expertise in SQL.
Experience working with AWS or another cloud-based computing platform.
Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.
Experience with BI tools like Tableau or Looker (preferred), or any other industry tool such Qlik, PowerBI, Spotfire, etc.
Excellent communication ability – you can explain your work in a way that anyone on the team can understand, and you can frame problems in a way that ensures the right question is being asked.
Business Acumen – you are always eager to understand how the business works, and more specifically, how your work impacts the business.
Enthusiastic yet humble – you are excited about the work you do, but you are also humble enough to embrace feedback – you don’t need to be the smartest person in the room.
Bachelors degree in mathematics, statistics, data science or related field of study.
The following additional experience is desired:
Experience retraining a model within a few days or update a model within one day.
Capable of performing an in-depth analysis and summarizing findings in one day.
Comfortable having conversations with our executive team and non-technical team members to distill down their needs and to deliver actionable insights.



Please review our CCPA policies here.",3.5,"Assurance Careers
3.5",Toronto,"Bellevue, WA",51 to 200 employees,2016,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),"Job Description
Title: Data Scientist
Job ID: DM74515678

Our client is looking for a Data Scientist to collect, store, clean, visualize, analyze, interpret, and model data relevant to Sports Betting markets in order to recognize patterns and trends in betting markets.

Responsibilities:
Acquire and store data from various sources related to Sports Betting markets including: sports data, betting market data, twitter data, etc.
Visualize, Analyze, and Interpret data.
Build and maintain data products and user interfaces for business users.
Organize data products into API’s used to build internal data products and share data resources with business partners.
Develop unique approaches to solving complex modelling and inference problems, which combines the market and trading knowledge with a mathematical approach.
Other duties as assigned.
Qualifications:
Strong passion for working with data and Data Science.
Strong background in statistics, modelling, and algorithms. (Machine Learning or other)
Ability to convey complex information through Data Visualization.
Understanding of software and ability to write code to solve problems.
Exceptional analytical, conceptual, and problem-solving abilities with attention to detail.
Strong written and oral communication skills – Fluency in English.
Ability to communicate results to engineers and non-engineers.
Thorough understanding and passion for sports and sports betting markets preferable.
Expertise in R and other statistical programming languages. (3+ years)
Experience in Frequentist and Bayesian Statistical methods. (2+ years)
Experience working with Machine Learning algorithms, Probabilistic Models, and/or other statistical modelling approaches. (2+ year)
Experience with modern R packages such as dplyr, ggplot2, data.table, etc.
Experience in front-end R technologies for data products such as ShinyR, FlexDashboards.
Ability to write complex SQL queries.
Cloud Computing Experience desirable.
Some Python Experience desirable.
Good Software Engineering Design Principles, such as Design Patterns.
For more information about TEEMA and to consider other career opportunities, please visit our website at www.teemagroup.com.",4.7,"TEEMA
4.7",Toronto,"Litchfield Park, AZ",201 to 500 employees,2008,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (CAD),-1
"Data Scientist Consultant, Cloud Support Data and Analytics",CA$73K-CA$100K (Glassdoor Est.),"Minimum qualifications:
3 years of experience in an analyst or Data Science role.
Experience using SQL to work with multiple datasets.
Experience designing data models and building data structures.
Experience in a language for statistical computing (R, Python/pandas, Stata, etc.).
Preferred qualifications:
PhD in Statistics, Engineering, Data Science, or related field (e.g. Mathematics, Physics, etc.).
Experience with statistical data analysis (a/b tests, hypothesis testing, experiment setting, etc.), and creating models to answer business questions.
Experience designing databases, and defining and implementing system requirements for data collection.
Knowledge of Machine Learning libraries (such as TensorFlow, Scikit-learn, Keras).
Excellent oral and written communication skills, including the ability to communicate findings in a structured and clear manner to a non-technical audience.
About the job


The Cloud Support Data and Analytics team provides data solutions that power the Cloud Support organization.

In this role, you will work on projects in a growing organization with opportunities to address problems needing creative solutions and models. You will be working on bringing together different data sets from across Google Cloud and modeling data to unlock actionable insights that help stakeholders formulate and answer business questions. You will collaborate closely with stakeholders from technical solutions engineering, product programs, vendor operations, support operations, and support experience teams.

Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.
Responsibilities
Provide decision-making support for key projects, and research new ways of modeling data to unlock actionable insights or improve processes. Contribute to the development of the frameworks, tools, skills, and culture for the team and wider organization.
Use predictive analytics and/or machine learning to facilitate forecasting for a growing and global support operation.
Write and review technical documents, including requirements and design documents for existing and future data systems, as well as data standards and policies.
Partner with non-technical stakeholders to understand their needs, help frame the problem by asking the right questions, and document and prioritize requirements. Communicate results of technical work.
Design, write, and support extract, transform, and load (ETL) processes to automate data collection and manage pipelines.

Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.4,"Google
4.4",Waterloo,"Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (CAD),"Microsoft, Apple, Facebook"
