
Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Staff Data Scientist,CA$73K-CA$100K (Glassdoor Est.),2.7,"realtor.com
2.7",Vancouver,"Santa Clara, CA",1001 to 5000 employees,1993,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zillow, Trulia, Redfin",0,0,73,100,86.5,"realtor.com
",Vancouver,0,27,1,0,1,0,1
Senior Data Analyst,CA$73K-CA$100K (Glassdoor Est.),3.4,"Teranet
3.4",Toronto,"Toronto, Canada",501 to 1000 employees,1991,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (CAD),-1,0,0,73,100,86.5,"Teranet
",Toronto,0,29,1,0,0,0,0
Game Data Scientist,CA$73K-CA$100K (Glassdoor Est.),4.4,"Prodigy Game
4.4",Oakville,"Oakville, Canada",201 to 500 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Prodigy Game
",Oakville,0,9,1,0,1,1,0
Data Engineer/Backend Developer,CA$73K-CA$100K (Glassdoor Est.),-1.0,Label Engine,Vancouver,"Los Angeles, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,73,100,86.5,Label Engine,Vancouver,0,-1,1,0,0,1,1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),3.1,"Home Trust
3.1",Toronto,"Toronto, Canada",501 to 1000 employees,1977,Company - Public,Lending,Finance,$100 to $500 million (CAD),-1,0,0,73,100,86.5,"Home Trust
",Toronto,0,43,1,0,1,0,1
Data Scientist I,CA$73K-CA$100K (Glassdoor Est.),3.9,"TD Bank
3.9",Toronto,"Toronto, Canada",10000+ employees,1855,Company - Public,Banks & Building Societies,Finance,$10+ billion (CAD),"Chase, BB&T, SunTrust",0,0,73,100,86.5,"TD Bank
",Toronto,0,165,1,0,1,0,1
Product Data Scientist,CA$73K-CA$100K (Glassdoor Est.),4.4,"Coffee Meets Bagel
4.4",Toronto,"San Francisco, CA",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (CAD),-1,0,0,73,100,86.5,"Coffee Meets Bagel
",Toronto,0,8,1,0,0,0,0
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),-1.0,SomaDetect,Thorold,"Fredericton, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,73,100,86.5,SomaDetect,Thorold,0,-1,1,0,1,0,1
Data Scientist,CA$73K-CA$100K (Glassdoor Est.),3.5,"Assurance Careers
3.5",Toronto,"Bellevue, WA",51 to 200 employees,2016,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,73,100,86.5,"Assurance Careers
",Toronto,0,4,1,0,0,1,1
"Data Scientist Consultant, Cloud Support Data and Analytics",CA$73K-CA$100K (Glassdoor Est.),4.4,"Google
4.4",Waterloo,"Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (CAD),"Microsoft, Apple, Facebook",0,0,73,100,86.5,"Google
",Waterloo,0,22,1,0,0,0,1
